step,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/entropy,perf/mfu/actor_infer,actor/pg_loss,actor/kl_loss,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,training/global_step,training/epoch,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,response_length_non_aborted/mean,response_length_non_aborted/max,response_length_non_aborted/min,response_length_non_aborted/clip_ratio,response/aborted_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,num_turns/min,num_turns/max,num_turns/mean,timing_s/start_profile,timing_s/agent_loop/num_preempted/mean,timing_s/agent_loop/generate_sequences/min,timing_s/agent_loop/generate_sequences/max,timing_s/agent_loop/generate_sequences/mean,timing_s/agent_loop/tool_calls/min,timing_s/agent_loop/tool_calls/max,timing_s/agent_loop/tool_calls/mean,timing_s/agent_loop/slowest/generate_sequences,timing_s/agent_loop/slowest/tool_calls,timing_s/agent_loop/slowest/prompt_length,timing_s/agent_loop/slowest/response_length,timing_s/gen,timing_s/reward,timing_s/old_log_prob,timing_s/adv,timing_s/update_actor,timing_s/step,timing_s/stop_profile,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/update_actor,perf/total_num_tokens,perf/time_per_step,perf/throughput,1,val-aux/num_turns/min,val-aux/num_turns/max,val-aux/num_turns/mean,timing_s/testing,timing_s/save_checkpoint
11,39212.0,45819.0,6607.0,42081.0,42083.0,42082.25,0.10784780234098434,0.0,0.002239158049633261,0.0,0.0,0.0,0.0,0.03173954039812088,0.31832817994592333,172.8574481010437,178.77734375,68.8931155204773,1.0,11.0,0.0,0.95849609375,1.0,0.0,0.95849609375,1.0,0.0,-0.0022251284681260586,2.4748666286468506,-2.4748666286468506,-0.0022251284681260586,2.4748666286468506,-2.4748666286468506,224.634765625,512.0,88.0,0.00244140625,224.634765625,512.0,88.0,0.00244140625,0.0,104.1328125,206.0,69.0,0.0,2.0,2.0,2.0,5.791500007035211e-05,-1.0,5.570552798977587,18.147223705018405,12.784358145613467,0.0,0.0,0.0,18.147223705018405,0.0,92.0,512.0,24.654562132999672,0.00010595599997031968,6.759200864000377,0.04391294800007017,11.75293148899982,43.458126126000025,4.936699951940682e-05,6.521892840816225e-05,0.0535908161099173,0.017455298090346613,673316.0,43.458126126000025,968.3401874712479,,,,,,
12,38189.0,46128.0,7939.0,41177.0,41178.0,41177.875,0.10720592737197876,0.0,0.0010811856773216277,0.0,0.0,0.0,0.0,0.03948689252138138,0.3236625446717034,172.8574481010437,178.77734375,68.50465774536133,1.0,12.0,0.0,0.97265625,1.0,0.0,0.97265625,1.0,0.0,-0.0010958650382235646,2.4748666286468506,-2.4748666286468506,-0.0010958650382235646,2.4748666286468506,-2.4748666286468506,220.6943359375,502.0,95.0,0.0,220.6943359375,502.0,95.0,0.0,0.0,101.0078125,201.0,64.0,0.0,2.0,2.0,2.0,7.061099950078642e-05,-1.0,5.978270727035124,16.94514338899171,12.259497793601644,0.0,0.0,0.0,16.94514338899171,0.0,117.0,502.0,25.568484377999994,8.866600001056213e-05,6.8738030639997305,0.04361205799978052,11.29280628000015,44.0333938370004,4.1076999877986964e-05,6.619461604044119e-05,0.056569696089667276,0.01714028206895109,658846.0,44.0333938370004,935.1510617698297,,,,,,
13,39141.0,47674.0,8533.0,43133.0,43134.0,43133.5,0.09767788648605347,0.0,0.0007107374112820253,0.0,0.0,0.0,0.0,0.03818484768271446,0.3198844349760274,172.8574481010437,178.77734375,68.31539368629456,1.0,13.0,0.0,0.97607421875,1.0,0.0,0.97607421875,1.0,0.0,-0.000793477229308337,2.4748666286468506,-2.4748666286468506,-0.000793477229308337,2.4748666286468506,-2.4748666286468506,232.91796875,512.0,97.0,0.00439453125,232.91796875,512.0,97.0,0.00439453125,0.0,104.0625,171.0,73.0,0.0,2.0,2.0,2.0,5.496099947777111e-05,-1.0,6.391575835994445,19.517268550000153,13.438914655998648,0.0,0.0,0.0,19.517268550000153,0.0,102.0,512.0,27.965331117999995,9.815100020205136e-05,7.027172181999958,0.04370769599972846,11.981543324000086,47.26993021100043,6.307700004981598e-05,6.333200412632939e-05,0.05862556207338956,0.01736113363742811,690136.0,47.26993021100043,912.4934140470168,,,,,,
14,37399.0,43529.0,6130.0,40550.0,40552.0,40551.0,0.10610327124595642,0.0,0.0016769804678915534,0.0,0.0,0.0,0.0,0.0394626259803772,0.3192989803037082,172.8574481010437,178.77734375,68.35007667541504,1.0,14.0,0.0,0.97509765625,1.0,0.0,0.97509765625,1.0,0.0,-0.0016514054732397199,2.4748666286468506,-2.4748666286468506,-0.0016514054732397199,2.4748666286468506,-2.4748666286468506,213.09375,498.0,94.0,0.0,213.09375,498.0,94.0,0.0,0.0,103.7109375,194.0,69.0,0.0,2.0,2.0,2.0,3.615100013121264e-05,-1.0,5.838511300000391,16.558040092990268,12.10270306055207,0.0,0.0,0.0,16.558040092990268,0.0,133.0,498.0,25.609737329999916,8.982200051832478e-05,6.569336503000159,0.04442155200013076,11.277491785000166,43.74880213100005,4.0504000025975984e-05,6.84655618852352e-05,0.05868193954850399,0.017381648703176503,648816.0,43.74880213100005,926.9053785421451,,,,,,
15,35705.0,45686.0,9981.0,40941.0,40942.0,40941.5625,0.10569892078638077,0.0,0.0013572873358498327,0.0,0.0,0.0,0.0,0.060054708272218704,0.3176976175556644,172.8574481010437,178.77734375,68.36371803283691,1.0,15.0,0.0,0.9404296875,1.0,0.0,0.9404296875,1.0,0.0,-0.0013779670698568225,2.4748666286468506,-2.4748666286468506,-0.0013779670698568225,2.4748666286468506,-2.4748666286468506,215.87548828125,512.0,74.0,0.00146484375,215.87548828125,512.0,74.0,0.00146484375,0.0,103.98046875,189.0,68.0,0.0,2.0,2.0,2.0,3.634899985627271e-05,-1.0,5.494268440990709,17.401072286011185,11.988837526827005,0.0,0.0,0.0,17.401072286011185,0.0,108.0,512.0,26.151257833000273,0.00011798600007750792,6.584294318999127,0.04420321799989324,11.434559536000052,44.46504402699975,5.332199998520082e-05,6.747913260499835e-05,0.05915061948642151,0.01745561056689039,655065.0,44.46504402699975,920.7583933828954,,,,,,
16,36135.0,44771.0,8636.0,39678.0,39679.0,39678.875,0.09680794179439545,0.0,0.0003956115833716467,0.0,0.0,0.0,0.0,0.06432519108057022,0.31351983855251087,172.8574481010437,178.77734375,68.31512832641602,1.0,16.0,0.0,0.96142578125,1.0,0.0,0.96142578125,1.0,0.0,-0.0003924496122635901,2.4748666286468506,-2.4748666286468506,-0.0003924496122635901,2.4748666286468506,-2.4748666286468506,206.8583984375,512.0,90.0,0.0009765625,206.8583984375,512.0,90.0,0.0009765625,0.0,103.1328125,195.0,65.0,0.0,2.0,2.0,2.0,3.532499977154657e-05,-1.0,5.624672562989872,17.26008852099767,11.679625762357245,0.0,0.0,0.0,17.26008852099767,0.0,128.0,512.0,26.142546381000102,9.159799992630724e-05,6.760536118000346,0.04390931699981593,11.236064968000392,44.43395964299998,4.093300049134996e-05,6.916356152961735e-05,0.06170846976249062,0.01769843677523681,634862.0,44.43395964299998,892.9853499169507,,,,,,
17,34357.0,42634.0,8277.0,37965.0,37966.0,37965.125,0.10078033804893494,0.0,-0.00010877030945266597,0.0,0.0,0.0,0.0,0.04659474268555641,0.31281245157786236,172.8574481010437,178.77734375,68.25443458557129,1.0,17.0,0.0,0.9521484375,1.0,0.0,0.9521484375,1.0,0.0,3.055106571991928e-05,2.4748666286468506,-2.4748666286468506,3.055106571991928e-05,2.4748666286468506,-2.4748666286468506,194.8603515625,512.0,85.0,0.00048828125,194.8603515625,512.0,85.0,0.00048828125,0.0,101.7421875,189.0,65.0,0.0,2.0,2.0,2.0,5.891499949939316e-05,-1.0,5.369259656000395,17.034811644,10.996974836400629,0.0,0.0,0.0,17.034811644,0.0,87.0,512.0,25.511287780999737,9.513599979982246e-05,6.555398622999746,0.04458805099966412,10.778139115999693,43.14554402600061,6.185399979585782e-05,7.340297674455194e-05,0.0639262086254673,0.01774348681190911,607442.0,43.14554402600061,879.9315400246488,,,,,,
18,33159.0,43488.0,10329.0,37734.0,37735.0,37734.4375,0.08119206875562668,0.0,0.0009531773771414009,0.0,0.0,0.0,0.0,0.04681316763162613,0.3125849401289048,172.8574481010437,178.77734375,68.24735832214355,1.0,18.0,0.0,0.96728515625,1.0,0.0,0.96728515625,1.0,0.0,-0.001032042084261775,1.6201815605163574,-2.4748666286468506,-0.001032042084261775,1.6201815605163574,-2.4748666286468506,190.16357421875,440.0,82.0,0.0,190.16357421875,440.0,82.0,0.0,0.0,104.63671875,238.0,56.0,0.0,2.0,2.0,2.0,6.344500070554204e-05,-1.0,5.211223345017061,15.03676870901836,10.598785049603915,0.0,0.0,0.0,15.03676870901836,0.0,97.0,439.0,23.220739839999624,9.932000011758646e-05,6.41628876499999,0.04360478700073145,10.715385708999747,40.643441516000166,4.167699989920948e-05,7.222313006642051e-05,0.05962367883324036,0.01774802146745885,603751.0,40.643441516000166,928.4262378505773,,,,,,
19,34073.0,42663.0,8590.0,37748.0,37750.0,37749.625,0.06381931900978088,0.0,-9.671470616012812e-05,0.0,0.0,0.0,0.0,0.041546158492565155,0.3119547264764772,172.8574481010437,178.77734375,68.24707794189453,1.0,19.0,0.0,0.9765625,1.0,0.0,0.9765625,1.0,0.0,0.0001065326141542755,1.6201815605163574,-2.4748666286468506,0.0001065326141542755,1.6201815605163574,-2.4748666286468506,189.4501953125,412.0,73.0,0.0,189.4501953125,412.0,73.0,0.0,0.0,105.46875,232.0,70.0,0.0,2.0,2.0,2.0,3.466599991952535e-05,-1.0,4.6502915939781815,14.810390503029339,10.502299537606849,0.0,0.0,0.0,14.810390503029339,0.0,232.0,411.0,23.12982040099996,9.477700041315984e-05,6.409409051000694,0.044419308000215096,10.746177009999883,40.90152936300001,4.12519993915339e-05,7.354263121854703e-05,0.059613861041665495,0.017791860531726943,603994.0,40.90152936300001,922.939205157173,,,,,,
20,33331.0,40113.0,6782.0,36290.0,36291.0,36290.75,0.054294902831315994,0.0,0.003914489570888691,0.0,0.0,0.0,0.0,0.04905026778578758,0.3174942231135698,172.8574481010437,178.77734375,68.2087733745575,1.0,20.0,0.0,0.94189453125,1.0,0.0,0.94189453125,1.0,0.0,-0.004065292421728373,1.20761239528656,-2.4748666286468506,-0.004065292421728373,1.20761239528656,-2.4748666286468506,178.517578125,404.0,83.0,0.0,178.517578125,404.0,83.0,0.0,0.0,105.00390625,217.0,69.0,0.0,2.0,2.0,2.0,5.7313999604957644e-05,-1.0,4.676757453999016,13.7508377910126,10.03506647952284,0.0,0.0,0.0,13.7508377910126,0.0,135.0,363.0,22.20410183199965,9.463100013817893e-05,6.442063431999486,0.043531024999538204,10.153481743000157,39.09290563800005,6.039500021870481e-05,7.496921563955381e-05,0.06073265563833998,0.01748634594042586,580652.0,39.09290563800005,928.3206097815296,0.9492039423805914,2.0,2.0,2.0,19.89900788399973,30.04418438799985
21,30524.0,38662.0,8138.0,34726.0,34728.0,34727.0,0.046845849603414536,0.0,-0.0010335327970096841,0.0,0.0,0.0,0.0,0.04136946052312851,0.31405948210237555,172.8574481010437,178.77734375,69.199951171875,1.0,21.0,0.0,0.9736328125,1.0,0.0,0.9736328125,1.0,0.0,0.0010404502972960472,1.20761239528656,-2.4748666286468506,0.0010404502972960472,1.20761239528656,-2.4748666286468506,169.53515625,475.0,88.0,0.0,169.53515625,475.0,88.0,0.0,0.0,101.76953125,190.0,69.0,0.0,2.0,2.0,2.0,3.866400038532447e-05,-1.0,5.618370128000606,14.228994660952594,9.573976867396208,0.0,0.0,0.0,14.228994660952594,0.0,131.0,475.0,20.239902352000172,9.981800030800514e-05,6.27820632699968,0.04435163299967826,9.854998789000092,36.659640333000425,6.0446999668783974e-05,7.982195589828925e-05,0.058293306467593405,0.017736557269919826,555632.0,36.659640333000425,947.2815249837382,,,,,,
22,31677.0,37927.0,6250.0,35191.0,35192.0,35191.0625,0.04900334030389786,0.0,0.00527738633172703,0.0,0.0,0.0,0.0,0.06300552189350128,0.31081536964856693,172.8574481010437,178.77734375,68.86189270019531,1.0,22.0,0.0,0.96630859375,1.0,0.0,0.96630859375,1.0,0.0,-0.00542959850281477,0.935412585735321,-2.4748666286468506,-0.00542959850281477,0.935412585735321,-2.4748666286468506,170.16455078125,446.0,78.0,0.0,170.16455078125,446.0,78.0,0.0,0.0,104.765625,184.0,68.0,0.0,2.0,2.0,2.0,3.258700053265784e-05,-1.0,5.094916453999758,14.01597910100827,10.032865930869741,0.0,0.0,0.0,14.01597910100827,0.0,77.0,446.0,22.980412306999824,9.835600030783098e-05,6.304001124000024,0.04455714000050648,10.061526372000117,39.645177766000415,3.957500030082883e-05,7.913433275939466e-05,0.06594149248630497,0.017869463255052537,563057.0,39.645177766000415,887.6505159772482,,,,,,
23,32267.0,40164.0,7897.0,35569.0,35570.0,35569.0625,0.048281580209732056,0.0,0.00011470616300357506,0.0,0.0,0.0,0.0,0.06282494962215424,0.3061643289039373,172.8574481010437,178.77734375,68.8531551361084,1.0,23.0,0.0,0.958984375,1.0,0.0,0.958984375,1.0,0.0,-6.417959957616404e-05,2.4748666286468506,-2.4748666286468506,-6.417959957616404e-05,2.4748666286468506,-2.4748666286468506,173.85986328125,414.0,70.0,0.0,173.85986328125,414.0,70.0,0.0,0.0,104.0234375,194.0,68.0,0.0,2.0,2.0,2.0,3.390399979252834e-05,-1.0,4.383293101000163,13.655622500984464,9.757323459856813,0.0,0.0,0.0,13.655622500984464,0.0,139.0,414.0,22.098520902999553,9.981700077332789e-05,6.302385566999874,0.04438776099959796,10.316905646000123,39.005528265000066,5.051300013292348e-05,7.799573189411086e-05,0.06206316516085421,0.018128299076620523,569105.0,39.005528265000066,911.897981700106,,,,,,
24,31966.0,39253.0,7287.0,35014.0,35016.0,35015.4375,0.04254116863012314,0.0,-0.0005942744755884632,0.0,0.0,0.0,0.0,0.0546666756272316,0.31648577708235925,172.8574481010437,178.77734375,68.88376808166504,1.0,24.0,0.0,0.96337890625,1.0,0.0,0.96337890625,1.0,0.0,0.0004850471159443259,2.4748666286468506,-2.4748666286468506,0.0004850471159443259,2.4748666286468506,-2.4748666286468506,172.13232421875,512.0,80.0,0.00244140625,172.13232421875,512.0,80.0,0.00244140625,0.0,101.42578125,193.0,68.0,0.0,2.0,2.0,2.0,3.788799949688837e-05,-1.0,4.962150085018948,18.812104807992,9.558138899698266,0.0,0.0,0.0,18.812104807992,0.0,74.0,512.0,27.30874546999985,9.842300005402649e-05,6.276498057000026,0.04450839099990844,9.82884045099945,43.70216545900075,4.201599949738011e-05,7.944422906308903e-05,0.07746568481279405,0.01754376275285624,560247.0,43.70216545900075,801.2288895123465,,,,,,
25,32217.0,38192.0,5975.0,36328.0,36331.0,36330.6875,0.04329919070005417,0.0,0.002651130263984669,0.0,0.0,0.0,0.0,0.09600640833377838,0.31222426595438163,172.8574481010437,178.77734375,68.88563132286072,1.0,25.0,0.0,0.95849609375,1.0,0.0,0.95849609375,1.0,0.0,-0.0027328510768711567,2.4748666286468506,-2.4748666286468506,-0.0027328510768711567,2.4748666286468506,-2.4748666286468506,179.81005859375,512.0,84.0,0.00048828125,179.81005859375,512.0,84.0,0.00048828125,0.0,104.0234375,212.0,68.0,0.0,2.0,2.0,2.0,5.576000057772035e-05,-1.0,5.148910505999993,18.250075087998994,10.171652892867574,0.0,0.0,0.0,18.250075087998994,0.0,144.0,512.0,26.60021816399967,9.519300056126667e-05,6.486492910000379,0.043538303999412165,10.338877749999483,43.72577924500001,5.8899000578094274e-05,7.48993258099853e-05,0.07223393327920269,0.017786061972401918,581291.0,43.72577924500001,830.8757014125567,,,,,,
